Date,Open,High,Low,Close,Adj Close,Volume
2018-10-24,306.760010,309.450012,291.070007,291.399994,291.399994,490800
2018-10-25,296.170013,302.200012,291.000000,297.589996,297.589996,601800
2018-10-26,295.709991,302.880005,287.279999,295.369995,295.369995,725100
2018-10-29,300.980011,304.500000,281.299988,287.339996,287.339996,956200
2018-10-30,286.679993,312.799988,285.100006,310.410004,310.410004,868600
2018-10-31,315.070007,329.510010,315.000000,324.500000,324.500000,1042300
2018-11-01,330.890015,343.450012,320.059998,341.649994,341.649994,845900
2018-11-02,348.000000,368.839996,346.369995,354.390015,354.390015,1361400
2018-11-05,353.589996,360.489990,350.739990,357.619995,357.619995,386500
2018-11-06,352.760010,356.359985,335.239990,336.190002,336.190002,593300
2018-11-07,340.000000,349.910004,329.529999,349.559998,349.559998,549200
2018-11-08,347.510010,348.429993,327.579987,331.470001,331.470001,568300
2018-11-09,326.929993,328.929993,318.440002,325.690002,325.690002,427900
2018-11-12,325.690002,328.350006,318.410004,322.000000,322.000000,596300
2018-11-13,323.709991,330.570007,321.459991,327.940002,327.940002,396400
2018-11-14,339.000000,341.000000,329.299988,336.859985,336.859985,614800
2018-11-15,336.959991,344.609985,331.549988,340.769989,340.769989,624700
2018-11-16,336.390015,347.589996,331.809998,344.609985,344.609985,450400
2018-11-19,341.160004,343.940002,333.260010,335.390015,335.390015,519800
2018-11-20,327.329987,332.299988,312.029999,313.790009,313.790009,1136800
2018-11-21,319.000000,321.989990,312.519989,319.000000,319.000000,692000
2018-11-23,314.079987,321.160004,308.529999,309.820007,309.820007,480000
2018-11-26,316.790009,323.679993,314.119995,322.179993,322.179993,644200
2018-11-27,320.320007,332.010010,314.209991,331.720001,331.720001,391100
2018-11-28,335.000000,346.019989,326.859985,345.779999,345.779999,658500
2018-11-29,343.519989,359.380005,342.000000,357.989990,357.989990,616400
2018-11-30,359.339996,362.029999,351.709991,351.970001,351.970001,915400
2018-12-03,360.910004,374.839996,359.000000,369.510010,369.510010,788900
2018-12-04,369.000000,373.920013,351.059998,354.850006,354.850006,718800
2018-12-06,344.019989,350.890015,340.260010,350.559998,350.559998,600800
2018-12-07,349.500000,357.910004,341.649994,346.559998,346.559998,390000
2018-12-10,345.019989,357.529999,342.489990,353.519989,353.519989,446900
2018-12-11,361.000000,364.940002,351.679993,355.239990,355.239990,591700
2018-12-12,359.649994,366.119995,354.929993,361.359985,361.359985,487800
2018-12-13,360.100006,361.000000,333.329987,333.510010,333.510010,721500
2018-12-14,329.000000,337.329987,324.130005,326.519989,326.519989,497400
2018-12-17,324.790009,324.869995,309.739990,310.489990,310.489990,535100
2018-12-18,312.899994,320.160004,307.420013,310.829987,310.829987,454800
2018-12-19,312.779999,330.850006,309.299988,312.390015,312.390015,747800
2018-12-20,311.519989,319.019989,304.100006,306.399994,306.399994,489500
2018-12-21,308.100006,315.640015,285.579987,286.559998,286.559998,1423600
2018-12-24,281.920013,284.440002,257.519989,257.519989,257.519989,1005400
2018-12-26,261.230011,283.910004,260.420013,281.809998,281.809998,1031400
2018-12-27,274.170013,290.290009,272.609985,289.100006,289.100006,579300
2018-12-28,291.890015,299.809998,282.440002,292.089996,292.089996,736200
2018-12-31,295.000000,298.320007,285.109985,292.850006,292.850006,390300
2019-01-02,285.609985,298.869995,282.880005,298.010010,298.010010,349000
2019-01-03,295.079987,300.500000,289.140015,296.589996,296.589996,564400
2019-01-04,301.670013,317.970001,301.010010,315.329987,315.329987,606600
2019-01-07,315.730011,330.890015,315.730011,328.940002,328.940002,467700
2019-01-08,334.170013,334.989990,317.739990,328.489990,328.489990,500900
2019-01-09,333.100006,347.790009,330.549988,339.959991,339.959991,590200
2019-01-10,336.089996,343.989990,331.000000,339.589996,339.589996,620200
2019-01-11,337.489990,348.459991,333.859985,344.950012,344.950012,431900
2019-01-14,340.700012,346.570007,337.000000,339.769989,339.769989,400700
2019-01-15,341.190002,350.989990,341.190002,350.100006,350.100006,513200
2019-01-16,340.000000,349.609985,336.470001,344.920013,344.920013,643600
2019-01-17,341.260010,346.290009,335.109985,342.230011,342.230011,388100
2019-01-18,347.070007,353.970001,341.119995,350.660004,350.660004,475900
2019-01-22,340.989990,342.380005,324.119995,330.859985,330.859985,622200
2019-01-23,334.790009,337.059998,322.820007,328.880005,328.880005,420500
2019-01-24,331.070007,339.839996,330.000000,339.149994,339.149994,456300
2019-01-25,344.329987,347.510010,339.089996,342.880005,342.880005,469700
2019-01-28,338.119995,356.420013,335.279999,355.000000,355.000000,468600
2019-01-29,354.700012,357.000000,346.399994,351.230011,351.230011,453100
2019-01-30,352.130005,366.339996,351.299988,362.019989,362.019989,575400
2019-01-31,361.700012,368.269989,356.059998,364.000000,364.000000,733800
2019-02-01,365.730011,366.890015,359.000000,364.660004,364.660004,495400
2019-02-04,361.850006,369.029999,354.390015,368.079987,368.079987,358400
2019-02-05,370.279999,374.970001,362.309998,363.250000,363.250000,451100
